"ID","High_Plant","Herbarium","Observation Date","Taxon","Observer","Source","Date","County","lat","lng","Location Description"
"xr349659","1+",,"2009-10-30","Carpobrotus edulis","Daniel Gluesenkamp","Dan Gluesenkamp: Bay Area Early Detection Network","2009-10-30","Marin","38.214717","-122.927268",
"xr349658","1+",,"2009-10-30","Carpobrotus edulis","Daniel Gluesenkamp","Dan Gluesenkamp: Bay Area Early Detection Network","2009-10-30","Marin","38.216085","-122.926326",
"in:618446","1+",,"2014-04-10","Carpobrotus edulis","JK Johnson","iNaturalist","2014-04-10","San Francisco","37.78984","-122.458133",
"xr355534","1+",,"2009-07-01","Carpobrotus edulis","Erin Mcdermott","SFPUC; Nomad Ecology; BAEDN","2009-07-01","San Mateo","37.580162","-122.4234725",
"xr355240","1+",,"2009-07-01","Carpobrotus edulis","Brett Stevenson","SFPUC; Nomad Ecology; BAEDN","2009-07-01","San Mateo","37.5858095","-122.4100758",
"xr354975","1+",,"2009-07-01","Carpobrotus edulis","Erin Mcdermott","SFPUC; Nomad Ecology; BAEDN","2009-07-01","San Mateo","37.5864447","-122.4107498",
"mcp4939",,,"2014-04-04","Carpobrotus edulis","Tori Bohlen","MCOSD","2014-04-04","Marin","37.91296689","-122.68101503",
"gx21400",,,"2014-11-04","Carpobrotus edulis","Habitat Restoration Team","National Park Service [SFAN]","2014-11-04","Marin","37.824974499999996","-122.52712783333334","slope above camp bicentennial"
"gx11598","0",,"2006-12-31","Carpobrotus edulis","Maria Alvarez","National Park Service [SFAN]","2006-12-31","Marin","37.824585000000006","-122.52977333333335","east of point bonita ymca on terrace of battery wallace"
"gx18755",,,"2009-01-26","Carpobrotus edulis","Maria Alvarez","National Park Service [SFAN]","2009-01-26","San Francisco","37.81877666666667","-122.53024166666667","LIGHTHOUSE TRAIL"
"gx1791",,,"2006-09-28","Carpobrotus edulis","Jim Dougherty","National Park Service [SFAN]","2006-09-28","Marin","37.83397","-122.53421",
"mcp4507","0",,"2013-05-18","Carpobrotus edulis","Tori Bohlen","MCOSD","2013-05-18","Marin","37.91187599","-122.68078253",
"mcp4509","0",,"2013-06-07","Carpobrotus edulis","Tori Bohlen","MCOSD","2013-06-07","Marin","37.91117797","-122.68276052",
"xr347186","1+",,"2004-03-02","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2004-03-02","Marin","37.99631193","-123.0194871",
"xr347187","1+",,"2004-03-02","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2004-03-02","Marin","37.99643846","-123.017232",
"xr347188","1+",,"2007-03-22","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-03-22","Marin","37.996502","-123.0138494",
"xr347189","1+",,"2007-03-15","Carpobrotus edulis","Eric Richardson","PORE Vegetation Management; SFAN; BAEDN","2007-03-15","Marin","37.996502","-123.0138494",
"xr347190","1+",,"2003-09-25","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-09-25","Marin","37.996502","-123.0138494",
"xr347194","1+",,"2003-10-01","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-01","Marin","37.996502","-123.0138494",
"xr347195","1+",,"2003-10-02","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-02","Marin","37.996502","-123.0138494",
"xr347196","1+",,"2003-10-03","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-03","Marin","37.996502","-123.0138494",
"xr347197","1+",,"2003-10-06","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-06","Marin","37.996502","-123.0138494",
"xr347198","1+",,"2003-10-07","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-07","Marin","37.996502","-123.0138494",
"xr347199","1+",,"2004-03-02","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2004-03-02","Marin","37.996502","-123.0138494",
"xr347200","1+",,"2005-06-04","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-06-04","Marin","37.996502","-123.0138494",
"xr347201","1+",,"2007-07-07","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-07-07","Marin","37.996502","-123.0138494",
"xr347202","1+",,"2006-03-09","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-09","Marin","37.996502","-123.0138494",
"xr347203","1+",,"2006-03-09","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-09","Marin","37.996502","-123.0138494",
"xr347204","1+",,"2006-03-14","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-14","Marin","37.996502","-123.0138494",
"xr347205","1+",,"2006-05-07","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-05-07","Marin","37.996502","-123.0138494",
"xr347206","1+",,"2006-06-03","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-06-03","Marin","37.996502","-123.0138494",
"xr347207","1+",,"2007-03-10","Carpobrotus edulis","Eric Richardson","PORE Vegetation Management; SFAN; BAEDN","2007-03-10","Marin","37.996502","-123.0138494",
"xr347208","1+",,"2007-09-18","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2007-09-18","Marin","37.996502","-123.0138494",
"xr347209","1+",,"2008-05-05","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-05-05","Marin","37.996502","-123.0138494",
"xr347210","1+",,"2008-06-23","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-06-23","Marin","37.996502","-123.0138494",
"xr347211","1+",,"2008-11-06","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-11-06","Marin","37.996502","-123.0138494",
"xr347212","1+",,"2008-11-10","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-11-10","Marin","37.996502","-123.0138494",
"xr347213","1+",,"2008-11-17","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-11-17","Marin","37.996502","-123.0138494",
"xr347214","1+",,"2008-11-19","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-11-19","Marin","37.996502","-123.0138494",
"xr347215","1+",,"2008-12-01","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-12-01","Marin","37.996502","-123.0138494",
"xr347216","1+",,"2008-07-08","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-08","Marin","37.996502","-123.0138494",
"xr347217","1+",,"2008-07-31","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-07-31","Marin","37.996502","-123.0138494",
"xr347218","1+",,"2008-07-29","Carpobrotus edulis","Ellen Hamingson","PORE Vegetation Management; SFAN; BAEDN","2008-07-29","Marin","37.996502","-123.0138494",
"xr347219","1+",,"2008-09-18","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-09-18","Marin","37.996502","-123.0138494",
"xr347220","1+",,"2007-05-05","Carpobrotus edulis","Malia Laber","PORE Vegetation Management; SFAN; BAEDN","2007-05-05","Marin","37.99688089","-123.0105238",
"xr347221","1+",,"2003-05-07","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-05-07","Marin","37.99688089","-123.0105238",
"xr347222","1+",,"2003-07-16","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-07-16","Marin","37.99688089","-123.0105238",
"xr347223","1+",,"2003-08-18","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-08-18","Marin","37.99688089","-123.0105238",
"xr347224","1+",,"2006-02-02","Carpobrotus edulis","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-02-02","Marin","37.99688089","-123.0105238",
"xr347225","1+",,"2007-03-06","Carpobrotus edulis","Eric Richardson","PORE Vegetation Management; SFAN; BAEDN","2007-03-06","Marin","37.99688089","-123.0105238",
"xr347226","1+",,"2007-06-25","Carpobrotus edulis","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2007-06-25","Marin","37.99688089","-123.0105238",
"xr347238","1+",,"2003-10-20","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-20","Marin","37.99732104","-123.0214008",
"xr347240","1+",,"2001-06-22","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-06-22","Marin","37.99732233","-123.0124373",
"xr347241","1+",,"2001-07-30","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-07-30","Marin","37.99732233","-123.0124373",
"xr347242","1+",,"2002-05-04","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2002-05-04","Marin","37.99732233","-123.0124373",
"xr347243","1+",,"2001-09-22","Carpobrotus edulis","Tom Echols","PORE Vegetation Management; SFAN; BAEDN","2001-09-22","Marin","37.99732233","-123.0124373",
"xr347244","1+",,"2003-11-11","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-11-11","Marin","37.99752003","-123.0170842",
"xr347246","1+",,"2004-03-06","Carpobrotus edulis","Jon O'Brien","PORE Vegetation Management; SFAN; BAEDN","2004-03-06","Marin","37.99752003","-123.0170842",
"xr347247","1+",,"2009-02-10","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-02-10","Marin","37.99752003","-123.0170842",
"xr347248","1+",,"2009-03-16","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2009-03-16","Marin","37.99752003","-123.0170842",
"xr347250","1+",,"2003-07-16","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-07-16","Marin","37.99753761","-123.0199202",
"xr347251","1+",,"2003-10-22","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-22","Marin","37.99753761","-123.0199202",
"xr347252","1+",,"2003-10-23","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2003-10-23","Marin","37.99753761","-123.0199202",
"xr347253","1+",,"2003-10-28","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-10-28","Marin","37.99753761","-123.0199202",
"xr347254","1+",,"2003-10-29","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-10-29","Marin","37.99753761","-123.0199202",
"xr347255","1+",,"2003-11-04","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-11-04","Marin","37.99753761","-123.0199202",
"xr347256","1+",,"2003-11-05","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-11-05","Marin","37.99753761","-123.0199202",
"xr347257","1+",,"2003-11-10","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2003-11-10","Marin","37.99753761","-123.0199202",
"xr347259","1+",,"2004-03-06","Carpobrotus edulis","Jon O'Brien","PORE Vegetation Management; SFAN; BAEDN","2004-03-06","Marin","37.99753761","-123.0199202",
"xr347260","1+",,"2004-03-06","Carpobrotus edulis","Jon O'Brien","PORE Vegetation Management; SFAN; BAEDN","2004-03-06","Marin","37.99753761","-123.0199202",
"xr347261","1+",,"2004-09-19","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-09-19","Marin","37.99753761","-123.0199202",
"xr347269","1+",,"2008-09-29","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-09-29","Marin","37.99774625","-123.0090661",
"xr347270","1+",,"2008-09-30","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-09-30","Marin","37.99774625","-123.0090661",
"xr347271","1+",,"2008-10-01","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-01","Marin","37.99774625","-123.0090661",
"xr347272","1+",,"2008-10-02","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-02","Marin","37.99774625","-123.0090661",
"xr347273","1+",,"2008-10-03","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-03","Marin","37.99774625","-123.0090661",
"xr347274","1+",,"2008-05-29","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-05-29","Marin","37.99774625","-123.0090661",
"xr347275","1+",,"2008-10-03","Carpobrotus edulis","Dylan Voeller","PORE Vegetation Management; SFAN; BAEDN","2008-10-03","Marin","37.99798981","-123.0055353",
"xr347276","1+",,"2002-11-13","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2002-11-13","Marin","37.99809724","-123.0142028",
"xr347277","1+",,"2004-03-18","Carpobrotus edulis","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2004-03-18","Marin","37.99809724","-123.0142028",
"xr347278","1+",,"2004-03-06","Carpobrotus edulis","Jon O'Brien","PORE Vegetation Management; SFAN; BAEDN","2004-03-06","Marin","37.99809724","-123.0142028",
"xr347279","1+",,"2004-08-31","Carpobrotus edulis","Ben Peterson","PORE Vegetation Management; SFAN; BAEDN","2004-08-31","Marin","37.99809724","-123.0142028",
