"ID","Taxon","Common Name","Observer","Source","time","InfestedArea","Percent Cover","GrossArea","High_Plant","Management Status","Detail URL","County","lat","lng","Datum","Elevation (meters)","Notes"
"cch:UC91748","Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","K. Brandegee","Consortium of California Herbaria",1990-07-01,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=UC91748&YF=1","San Francisco",37.7976,-122.4649,"NAD83",84,"UC91748"
"cch:JEPS47455","Cordylanthus mollis ssp. mollis","Soft bird's-beak","L. R. Heckard","Consortium of California Herbaria",1966-08-17,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=JEPS47455&YF=1","Marin",38.157997,-122.562904,"NAD83",3,"JEPS47455"
"cch:OBI9581","Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","G. Thomas Robbins","Consortium of California Herbaria",1958-08-31,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=OBI9581&YF=1","Marin",38.1581,-122.5642,"NAD83",2,"OBI9581"
"cch:JEPS23257","Cordylanthus mollis ssp. mollis","Soft bird's-beak","G. Thomas Robbins","Consortium of California Herbaria",1958-08-31,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=JEPS23257&YF=1","Marin",38.15717,-122.55462,"NAD83",3,"JEPS25005"
"cch:DS313190","Chloropyron molle ssp. molle","Soft bird's-beak","Milo S. Baker","Consortium of California Herbaria",1945-07-31,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=DS313190&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"DS313190"
"cch:RSA74079","Cordylanthus mollis ssp. mollis","Soft bird's-beak","Milo S. Baker","Consortium of California Herbaria",1945-07-31,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=RSA74079&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"DS313190"
"cch:CAS431789","Chloropyron molle ssp. molle","Soft bird's-beak","Hans Leschke","Consortium of California Herbaria",1945-07-08,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS431789&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"CAS431789"
"cch:POM273195A","Cordylanthus mollis ssp. mollis","Soft bird's-beak","J. T. Howell","Consortium of California Herbaria",1945-07-08,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=POM273195A&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"HSC24634"
"cch:CAS326234","Chloropyron molle ssp. molle","Soft bird's-beak","John Thomas Howell","Consortium of California Herbaria",1945-07-08,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=CAS326234&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"CAS326234"
"cch:HSC24634","Cordylanthus mollis","Soft bird's beak","J. T. Howell","Consortium of California Herbaria",1945-07-08,"x"," "," ",1," ","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?accn_num=HSC24634&YF=1","Marin",38.1557,-122.5646,"NAD83",0,"HSC24634"
