"ID","Taxon","Common","Observer","Source","time","InfestedArea","Percent Cover","GrossArea","Low_Plant","High_Plant","Management Status","Detail URL","County","lat","lng","Datum","Elevation (meters)","Notes"
"oe2485","Lepidium latifolium","Perennial pepperweed","Mike Perlmutter and Ruth Gravanis","Bay Area Early Detection Network",2011-09-02," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=oe2485","San Francisco",37.813675,-122.370113,"NAD83",9," "
"gx4105","Lepidium latifolium","Perennial pepperweed","Weed Watcher Volunteer","National Park Service [SFAN]",2009-08-13," "," "," ",," "," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=gx4105","San Francisco",37.80523,-122.458816,"NAD83"," ","point drawn in from office after keying out, not very accurate"
"sfw49","Lepidium latifolium","Perennial pepperweed","Jennifer Robinson","BAEDN; SFWMA; Port of SF(2008)",2008-08-04,"x"," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=sfw49","San Francisco",37.745934,-122.375526,"NAD83",2,"polygon centroid"
"sfw63","Lepidium latifolium","Perennial pepperweed","Mike Wood","BAEDN; SFWMA; Wood 2007",2007-01-16,"x"," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=sfw63","San Francisco",37.81124,-122.368229,"NAD83",81,"polygon centroid"
"gx18023","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2014-09-24,"3.0 square meters",15,"19.796804 square meters",,100,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=gx18023","Marin",37.9278075,-122.6822231667,"NAD83"," "," "
"wb1333-148","Lepidium latifolium","Perennial pepperweed","Wrubel, Eric","National Park Service",2014-09-24," "," "," ",," "," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1333-148","Marin",37.934601,-122.695764,"NAD83",2," "
"gx10816","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2014-09-24," "," "," ",," "," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=gx10816","Marin",37.9278075,-122.6822231667,"NAD83"," ","Not in park."
"mg6576","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014-08-11," "," ","0.201 Acres",51,100," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6576","Marin",38.0779646,-122.5313088,"NAD83",3," "
"mg6581","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","95 - 100","119.9 Square Meters",51,100,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6581","Marin",38.0801419126,-122.5295020267,"NAD83",1,"one of many significant populations in area"
"mg6582","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","95 - 100","747.4 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6582","Marin",38.0801603864,-122.5291442871,"NAD83",1,"a few solid populations, many in this area"
"mg6583","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","25 - 50","404 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6583","Marin",38.0804798514,-122.5291015394,"NAD83",0," "
"mg6584","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","50 - 75"," ",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6584","Marin",38.0804896162,-122.5283719786,"NAD83",2," "
"mg6585","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014-08-11," "," ","189.3 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6585","Marin",38.0787248222,-122.5285697915,"NAD83",1," "
"mg6587","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014-08-11," "," ","756.8 Square Meters",51,100," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6587","Marin",38.1230038597,-122.558691334,"NAD83",0," "
"mg6589","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","50 - 75","2.1 Square Meters",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6589","Marin",38.1239688103,-122.5579376332,"NAD83",1," "
"mg6590","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","50 - 75","554.6 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6590","Marin",38.1248705784,-122.5573255867,"NAD83",1," "
"mg6594","Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014-08-11," ","75 - 95","1402.6 Square Meters",1001,10000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mg6594","Marin",38.1206421367,-122.5626177527,"NAD83",0,"not on county open space land"
"mcp4834","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-24," ","25 - 50","0.232033 Acres",,600,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4834","Marin",38.10154006,-122.54089391,"NAD83"," "," "
"mcp1023","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-24," ","25 - 50","0.306446930779 Acres",,1,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp1023","Marin",38.101551,-122.54087996,"NAD83"," "," "
"mcp2477","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","0.00%","< 0.1 Acres",,0,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2477","Marin",38.09345801,-122.5386456,"NAD83"," "," "
"mcp4835","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","1.89235 Acres",," ","managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4835","Marin",38.09973923,-122.54094984,"NAD83"," "," "
"mcp4833","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","1.24398 Acres",,300,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4833","Marin",38.0199558,-122.51891479,"NAD83"," "," "
"mcp4830","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","1.48819 Acres",,200,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4830","Marin",37.99309061,-122.45288268,"NAD83"," "," "
"mcp4832","Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014-06-23," ","05/25/15","0.101976 Acres",,57,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4832","Marin",38.01874156,-122.51519254,"NAD83"," "," "
